,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,category
107,Algeria,Maize,2005,33864,89,3662.87,17.19,Low
108,Algeria,Maize,2006,65668,89,4110.72,18.13,Low
109,Algeria,Maize,2007,85625,89,5390.79,17.42,Low
110,Algeria,Maize,2008,44714,89,11556.12,17.55,Low
111,Algeria,Maize,2009,30914,89,3867.99,17.78,Low
112,Algeria,Maize,2010,25827,89,1295.88,17.59,Low
113,Algeria,Maize,2011,23374,89,13861.76,17.79,Low
114,Algeria,Maize,2012,25583,89,17379.76,17.91,Low
115,Algeria,Maize,2013,33649,89,17278.65,17.65,Low
116,Algeria,Potatoes,1990,78936,89,1828.92,17.48,Low
117,Algeria,Potatoes,1991,90747,89,2461.8,16.26,Low
118,Algeria,Potatoes,1992,107917,89,1215.47,16.27,Low
119,Algeria,Potatoes,1993,111215,89,1021.89,17,Low
120,Algeria,Potatoes,1994,95078,89,1255.02,17.88,Low
121,Algeria,Potatoes,1995,136768,89,2697.09,17.36,Low
122,Algeria,Potatoes,1996,134629,89,479.77,16.76,Low
123,Algeria,Potatoes,1997,141042,89,401.22,17.84,Low
124,Algeria,Potatoes,1998,160256,89,322.84,17.14,Low
125,Algeria,Potatoes,1999,153532,89,654.45,17.97,Low
126,Algeria,Potatoes,2000,166143,89,603.67,17.9,Low
127,Algeria,Potatoes,2001,147018,89,710.11,18.13,Low
128,Algeria,Potatoes,2002,183774,89,816.55,17.85,Medium
129,Algeria,Potatoes,2004,203585,89,3747.86,17.38,Medium
130,Algeria,Potatoes,2005,216267,89,3662.87,17.19,Medium
131,Algeria,Potatoes,2006,220689,89,4110.72,18.13,Medium
132,Algeria,Potatoes,2007,189927,89,5390.79,17.42,Medium
133,Algeria,Potatoes,2008,236393,89,11556.12,17.55,Medium
134,Algeria,Potatoes,2009,250764,89,3867.99,17.78,Medium
135,Algeria,Potatoes,2010,270526,89,1295.88,17.59,Medium
136,Algeria,Potatoes,2011,292806,89,13861.76,17.79,Medium
137,Algeria,Potatoes,2012,304291,89,17379.76,17.91,Medium
138,Algeria,Potatoes,2013,303218,89,17278.65,17.65,Medium
139,Algeria,"Rice, paddy",1990,28000,89,1828.92,17.48,Low
140,Algeria,"Rice, paddy",1991,26786,89,2461.8,16.26,Low
141,Algeria,"Rice, paddy",1992,24733,89,1215.47,16.27,Low
142,Algeria,"Rice, paddy",1993,23111,89,1021.89,17,Low
143,Algeria,"Rice, paddy",1994,21374,89,1255.02,17.88,Low
144,Algeria,"Rice, paddy",1995,19598,89,2697.09,17.36,Low
145,Algeria,"Rice, paddy",1996,17861,89,479.77,16.76,Low
146,Algeria,"Rice, paddy",1997,15000,89,401.22,17.84,Low
147,Algeria,"Rice, paddy",1998,15000,89,322.84,17.14,Low
148,Algeria,"Rice, paddy",1999,13942,89,654.45,17.97,Low
149,Algeria,"Rice, paddy",2000,13052,89,603.67,17.9,Low
150,Algeria,"Rice, paddy",2001,12314,89,710.11,18.13,Low
151,Algeria,"Rice, paddy",2002,12959,89,816.55,17.85,Low
152,Algeria,"Rice, paddy",2004,12829,89,3747.86,17.38,Low
153,Algeria,"Rice, paddy",2005,12998,89,3662.87,17.19,Low
154,Algeria,"Rice, paddy",2006,12769,89,4110.72,18.13,Low
155,Algeria,"Rice, paddy",2007,13375,89,5390.79,17.42,Low
156,Algeria,"Rice, paddy",2008,13952,89,11556.12,17.55,Low
157,Algeria,"Rice, paddy",2009,14594,89,3867.99,17.78,Low
158,Algeria,"Rice, paddy",2010,15305,89,1295.88,17.59,Low
159,Algeria,"Rice, paddy",2011,16081,89,13861.76,17.79,Low
160,Algeria,"Rice, paddy",2012,16667,89,17379.76,17.91,Low
161,Algeria,"Rice, paddy",2013,17778,89,17278.65,17.65,Low
162,Algeria,Sorghum,1990,16571,89,1828.92,17.48,Low
163,Algeria,Sorghum,1991,24231,89,2461.8,16.26,Low
164,Algeria,Sorghum,1992,40000,89,1215.47,16.27,Low
165,Algeria,Sorghum,1993,50000,89,1021.89,17,Low
166,Algeria,Sorghum,1995,12667,89,2697.09,17.36,Low
167,Algeria,Sorghum,1996,14750,89,479.77,16.76,Low
168,Algeria,Sorghum,1997,40000,89,401.22,17.84,Low
169,Algeria,Sorghum,1998,24500,89,322.84,17.14,Low
170,Algeria,Sorghum,1999,27000,89,654.45,17.97,Low
171,Algeria,Sorghum,2000,69500,89,603.67,17.9,Low
172,Algeria,Sorghum,2001,27750,89,710.11,18.13,Low
173,Algeria,Sorghum,2002,33900,89,816.55,17.85,Low
174,Algeria,Sorghum,2004,43316,89,3747.86,17.38,Low
175,Algeria,Sorghum,2005,33486,89,3662.87,17.19,Low
176,Algeria,Sorghum,2006,56728,89,4110.72,18.13,Low
177,Algeria,Sorghum,2007,119059,89,5390.79,17.42,Low
178,Algeria,Sorghum,2008,61786,89,11556.12,17.55,Low
179,Algeria,Sorghum,2009,90465,89,3867.99,17.78,Low
180,Algeria,Sorghum,2010,30286,89,1295.88,17.59,Low
181,Algeria,Sorghum,2011,100000,89,13861.76,17.79,Low
182,Algeria,Sorghum,2012,206000,89,17379.76,17.91,Medium
183,Algeria,Sorghum,2013,60000,89,17278.65,17.65,Low
184,Algeria,Wheat,1990,6315,89,1828.92,17.48,Low
185,Algeria,Wheat,1991,10809,89,2461.8,16.26,Low
186,Algeria,Wheat,1992,9939,89,1215.47,16.27,Low
187,Algeria,Wheat,1993,8097,89,1021.89,17,Low
188,Algeria,Wheat,1994,7999,89,1255.02,17.88,Low
189,Algeria,Wheat,1995,8924,89,2697.09,17.36,Low
190,Algeria,Wheat,1996,13090,89,479.77,16.76,Low
191,Algeria,Wheat,1997,8016,89,401.22,17.84,Low
192,Algeria,Wheat,1998,8847,89,322.84,17.14,Low
193,Algeria,Wheat,1999,10711,89,654.45,17.97,Low
194,Algeria,Wheat,2000,9194,89,603.67,17.9,Low
195,Algeria,Wheat,2001,11104,89,710.11,18.13,Low
196,Algeria,Wheat,2002,10739,89,816.55,17.85,Low
197,Algeria,Wheat,2004,13582,89,3747.86,17.38,Low
198,Algeria,Wheat,2005,15057,89,3662.87,17.19,Low
199,Algeria,Wheat,2006,15068,89,4110.72,18.13,Low
200,Algeria,Wheat,2007,12742,89,5390.79,17.42,Low
201,Algeria,Wheat,2008,11038,89,11556.12,17.55,Low
202,Algeria,Wheat,2009,15975,89,3867.99,17.78,Low
203,Algeria,Wheat,2010,14838,89,1295.88,17.59,Low
204,Algeria,Wheat,2011,17405,89,13861.76,17.79,Low
205,Algeria,Wheat,2012,17639,89,17379.76,17.91,Low
206,Algeria,Wheat,2013,19100,89,17278.65,17.65,Low
207,Angola,Cassava,1990,41177,1010,64,24.12,Low
208,Angola,Cassava,1991,40295,1010,79,24.02,Low
209,Angola,Cassava,1992,42295,1010,23,23.96,Low
210,Angola,Cassava,1993,42295,1010,169,24.15,Low
211,Angola,Cassava,1994,58596,1010,25.5,24.04,Low
212,Angola,Cassava,1995,51000,1010,336,24.56,Low
213,Angola,Cassava,1996,48077,1010,40,24.11,Low
214,Angola,Cassava,1997,44205,1010,40,24.06,Low
215,Angola,Cassava,1998,55728,1010,40,24.96,Low
216,Angola,Cassava,1999,59821,1010,40,24.37,Low
217,Angola,Cassava,2000,82992,1010,40,24.41,Low
218,Angola,Cassava,2001,94072,1010,40,24.43,Low
219,Angola,Cassava,2002,110071,1010,40,24.79,Low
220,Angola,Cassava,2004,125605,1010,40,24.22,Low
221,Angola,Cassava,2005,117628,1010,40,24.41,Low
222,Angola,Cassava,2006,117201,1010,40,24.14,Low
223,Angola,Cassava,2007,115387,1010,40,24.24,Low
224,Angola,Cassava,2008,148084,1010,40,24.27,Low
225,Angola,Cassava,2009,151759,1010,40,24.33,Low
226,Angola,Cassava,2010,155782,1010,40,24.44,Low
227,Angola,Cassava,2011,133649,1010,40,24.15,Low
228,Angola,Cassava,2012,100073,1010,40,24.24,Low
229,Angola,Cassava,2013,140517,1010,40,24.55,Low
230,Angola,Maize,1990,2736,1010,64,24.12,Low
231,Angola,Maize,1991,4013,1010,79,24.02,Low
232,Angola,Maize,1992,3778,1010,23,23.96,Low
233,Angola,Maize,1993,2627,1010,169,24.15,Low
234,Angola,Maize,1994,2463,1010,25.5,24.04,Low
235,Angola,Maize,1995,3517,1010,336,24.56,Low
236,Angola,Maize,1996,6993,1010,40,24.11,Low
237,Angola,Maize,1997,5959,1010,40,24.06,Low
238,Angola,Maize,1998,7396,1010,40,24.96,Low
239,Angola,Maize,1999,6361,1010,40,24.37,Low
240,Angola,Maize,2000,5745,1010,40,24.41,Low
241,Angola,Maize,2001,5754,1010,40,24.43,Low
242,Angola,Maize,2002,6706,1010,40,24.79,Low
243,Angola,Maize,2004,5404,1010,40,24.22,Low
244,Angola,Maize,2005,6736,1010,40,24.41,Low
245,Angola,Maize,2006,4687,1010,40,24.14,Low
246,Angola,Maize,2007,5091,1010,40,24.24,Low
247,Angola,Maize,2008,7946,1010,40,24.27,Low
248,Angola,Maize,2009,6614,1010,40,24.33,Low
249,Angola,Maize,2010,7200,1010,40,24.44,Low
250,Angola,Maize,2011,7376,1010,40,24.15,Low
251,Angola,Maize,2012,7770,1010,40,24.24,Low
252,Angola,Maize,2013,9467,1010,40,24.55,Low
253,Angola,Potatoes,1990,40000,1010,64,24.12,Low
254,Angola,Potatoes,1991,40000,1010,79,24.02,Low
255,Angola,Potatoes,1992,40000,1010,23,23.96,Low
256,Angola,Potatoes,1993,70000,1010,169,24.15,Low
257,Angola,Potatoes,1994,90000,1010,25.5,24.04,Low
258,Angola,Potatoes,1995,76738,1010,336,24.56,Low
259,Angola,Potatoes,1996,70000,1010,40,24.11,Low
260,Angola,Potatoes,1997,68571,1010,40,24.06,Low
261,Angola,Potatoes,1998,62724,1010,40,24.96,Low
262,Angola,Potatoes,1999,54597,1010,40,24.37,Low
263,Angola,Potatoes,2000,29885,1010,40,24.41,Low
264,Angola,Potatoes,2001,42552,1010,40,24.43,Low
265,Angola,Potatoes,2002,42754,1010,40,24.79,Low
266,Angola,Potatoes,2004,20150,1010,40,24.22,Low
267,Angola,Potatoes,2005,23646,1010,40,24.41,Low
268,Angola,Potatoes,2006,52148,1010,40,24.14,Low
269,Angola,Potatoes,2007,62138,1010,40,24.24,Low
270,Angola,Potatoes,2008,85085,1010,40,24.27,Low
271,Angola,Potatoes,2009,86509,1010,40,24.33,Low
272,Angola,Potatoes,2010,87425,1010,40,24.44,Low
273,Angola,Potatoes,2011,81366,1010,40,24.15,Low
274,Angola,Potatoes,2012,69381,1010,40,24.24,Low
275,Angola,Potatoes,2013,63303,1010,40,24.55,Low
276,Angola,"Rice, paddy",1990,9512,1010,64,24.12,Low
277,Angola,"Rice, paddy",1991,10000,1010,79,24.02,Low
278,Angola,"Rice, paddy",1992,9106,1010,23,23.96,Low
279,Angola,"Rice, paddy",1993,8000,1010,169,24.15,Low
280,Angola,"Rice, paddy",1994,8750,1010,25.5,24.04,Low
281,Angola,"Rice, paddy",1995,14615,1010,336,24.56,Low
282,Angola,"Rice, paddy",1996,17500,1010,40,24.11,Low
283,Angola,"Rice, paddy",1997,20000,1010,40,24.06,Low
284,Angola,"Rice, paddy",1998,20000,1010,40,24.96,Low
285,Angola,"Rice, paddy",1999,14235,1010,40,24.37,Low
286,Angola,"Rice, paddy",2000,13454,1010,40,24.41,Low
287,Angola,"Rice, paddy",2001,13701,1010,40,24.43,Low
288,Angola,"Rice, paddy",2002,13198,1010,40,24.79,Low
289,Angola,"Rice, paddy",2004,11584,1010,40,24.22,Low
290,Angola,"Rice, paddy",2005,6977,1010,40,24.41,Low
291,Angola,"Rice, paddy",2006,4947,1010,40,24.14,Low
292,Angola,"Rice, paddy",2007,5143,1010,40,24.24,Low
293,Angola,"Rice, paddy",2008,5084,1010,40,24.27,Low
294,Angola,"Rice, paddy",2009,6028,1010,40,24.33,Low
295,Angola,"Rice, paddy",2010,7403,1010,40,24.44,Low
296,Angola,"Rice, paddy",2011,8914,1010,40,24.15,Low
297,Angola,"Rice, paddy",2012,7703,1010,40,24.24,Low
298,Angola,"Rice, paddy",2013,12744,1010,40,24.55,Low
299,Angola,Sorghum,2000,3333,1010,40,24.41,Low
300,Angola,Sorghum,2001,3571,1010,40,24.43,Low
301,Angola,Sorghum,2002,3400,1010,40,24.79,Low
302,Angola,Sorghum,2004,3333,1010,40,24.22,Low
303,Angola,Sorghum,2005,3333,1010,40,24.41,Low
304,Angola,Sorghum,2006,4091,1010,40,24.14,Low
305,Angola,Sorghum,2007,4031,1010,40,24.24,Low
306,Angola,Sorghum,2008,929,1010,40,24.27,Low
307,Angola,Sorghum,2009,2480,1010,40,24.33,Low
308,Angola,Sorghum,2010,2814,1010,40,24.44,Low
309,Angola,Sorghum,2011,3320,1010,40,24.15,Low
310,Angola,Sorghum,2012,998,1010,40,24.24,Low
311,Angola,Sorghum,2013,2415,1010,40,24.55,Low
312,Angola,Soybeans,2000,2333,1010,40,24.41,Low
313,Angola,Soybeans,2001,2500,1010,40,24.43,Low
314,Angola,Soybeans,2002,2857,1010,40,24.79,Low
315,Angola,Soybeans,2004,3600,1010,40,24.22,Low
316,Angola,Soybeans,2005,3793,1010,40,24.41,Low
317,Angola,Soybeans,2006,4286,1010,40,24.14,Low
318,Angola,Soybeans,2007,6883,1010,40,24.24,Low
319,Angola,Soybeans,2008,8575,1010,40,24.27,Low
320,Angola,Soybeans,2009,4449,1010,40,24.33,Low
321,Angola,Soybeans,2010,4446,1010,40,24.44,Low
322,Angola,Soybeans,2011,5294,1010,40,24.15,Low
323,Angola,Soybeans,2012,1641,1010,40,24.24,Low
324,Angola,Soybeans,2013,4405,1010,40,24.55,Low
325,Angola,Sweet potatoes,1990,89342,1010,64,24.12,Low
326,Angola,Sweet potatoes,1991,83001,1010,79,24.02,Low
327,Angola,Sweet potatoes,1992,90000,1010,23,23.96,Low
328,Angola,Sweet potatoes,1993,88095,1010,169,24.15,Low
329,Angola,Sweet potatoes,1994,83192,1010,25.5,24.04,Low
330,Angola,Sweet potatoes,1995,81138,1010,336,24.56,Low
331,Angola,Sweet potatoes,1996,85455,1010,40,24.11,Low
332,Angola,Sweet potatoes,1997,78098,1010,40,24.06,Low
333,Angola,Sweet potatoes,1998,76256,1010,40,24.96,Low
334,Angola,Sweet potatoes,1999,82865,1010,40,24.37,Low
335,Angola,Sweet potatoes,2000,34938,1010,40,24.41,Low
336,Angola,Sweet potatoes,2001,44458,1010,40,24.43,Low
337,Angola,Sweet potatoes,2002,42190,1010,40,24.79,Low
338,Angola,Sweet potatoes,2004,45360,1010,40,24.22,Low
339,Angola,Sweet potatoes,2005,46159,1010,40,24.41,Low
340,Angola,Sweet potatoes,2006,44240,1010,40,24.14,Low
341,Angola,Sweet potatoes,2007,58855,1010,40,24.24,Low
342,Angola,Sweet potatoes,2008,65437,1010,40,24.27,Low
343,Angola,Sweet potatoes,2009,66475,1010,40,24.33,Low
344,Angola,Sweet potatoes,2010,63001,1010,40,24.44,Low
345,Angola,Sweet potatoes,2011,65512,1010,40,24.15,Low
346,Angola,Sweet potatoes,2012,52954,1010,40,24.24,Low
347,Angola,Sweet potatoes,2013,73409,1010,40,24.55,Low
348,Angola,Wheat,1990,7995,1010,64,24.12,Low
349,Angola,Wheat,1991,8000,1010,79,24.02,Low
350,Angola,Wheat,1992,8000,1010,23,23.96,Low
351,Angola,Wheat,1993,8876,1010,169,24.15,Low
352,Angola,Wheat,1994,10000,1010,25.5,24.04,Low
353,Angola,Wheat,1995,11855,1010,336,24.56,Low
354,Angola,Wheat,1996,13738,1010,40,24.11,Low
355,Angola,Wheat,1997,15509,1010,40,24.06,Low
356,Angola,Wheat,1998,17143,1010,40,24.96,Low
357,Angola,Wheat,1999,17391,1010,40,24.37,Low
358,Angola,Wheat,2000,17023,1010,40,24.41,Low
359,Angola,Wheat,2001,16667,1010,40,24.43,Low
360,Angola,Wheat,2002,15455,1010,40,24.79,Low
361,Angola,Wheat,2004,12442,1010,40,24.22,Low
362,Angola,Wheat,2005,10946,1010,40,24.41,Low
363,Angola,Wheat,2006,10000,1010,40,24.14,Low
364,Angola,Wheat,2007,10000,1010,40,24.24,Low
365,Angola,Wheat,2008,10000,1010,40,24.27,Low
366,Angola,Wheat,2009,10000,1010,40,24.33,Low
367,Angola,Wheat,2010,10526,1010,40,24.44,Low
368,Angola,Wheat,2011,10959,1010,40,24.15,Low
369,Angola,Wheat,2012,11258,1010,40,24.24,Low
370,Angola,Wheat,2013,9022,1010,40,24.55,Low
371,Argentina,Cassava,1990,100000,591,26156,17.46,Low
372,Argentina,Cassava,1990,100000,591,26156,17.67,Low
373,Argentina,Cassava,1991,100000,591,26156,17.64,Low
374,Argentina,Cassava,1991,100000,591,26156,17.86,Low
375,Argentina,Cassava,1992,100000,591,26156,17.09,Low
376,Argentina,Cassava,1992,100000,591,26156,17.51,Low
377,Argentina,Cassava,1993,100000,591,26156,17.32,Low
378,Argentina,Cassava,1993,100000,591,26156,17.53,Low
379,Argentina,Cassava,1994,100000,591,30195,18.17,Low
380,Argentina,Cassava,1994,100000,591,30195,18.31,Low
381,Argentina,Cassava,1995,100000,591,37842,17.74,Low
382,Argentina,Cassava,1995,100000,591,37842,17.62,Low
383,Argentina,Cassava,1996,100000,591,54595,17.64,Low
384,Argentina,Cassava,1996,100000,591,54595,17.97,Low
385,Argentina,Cassava,1997,100000,591,77691,18.29,Low
386,Argentina,Cassava,1997,100000,591,77691,18.54,Low
387,Argentina,Cassava,1998,100000,591,62397,17.23,Low
388,Argentina,Cassava,1998,100000,591,62397,17.52,Low
389,Argentina,Cassava,1999,100000,591,62831.39,17.15,Low
390,Argentina,Cassava,1999,100000,591,62831.39,17.71,Low
391,Argentina,Cassava,2000,100000,591,63265.78,16.98,Low
392,Argentina,Cassava,2000,100000,591,63265.78,17.66,Low
393,Argentina,Cassava,2001,100000,591,63700.17,17.71,Low
394,Argentina,Cassava,2001,100000,591,63700.17,18.42,Low
395,Argentina,Cassava,2002,100000,591,64134.56,17.58,Low
396,Argentina,Cassava,2002,100000,591,64134.56,18.07,Low
397,Argentina,Cassava,2004,100000,591,65003.34,17.67,Low
398,Argentina,Cassava,2004,100000,591,65003.34,18.11,Low
399,Argentina,Cassava,2005,100000,591,65437.73,17.32,Low
400,Argentina,Cassava,2005,100000,591,65437.73,17.83,Low
401,Argentina,Cassava,2006,100000,591,65872.12,18.1,Low
402,Argentina,Cassava,2006,100000,591,65872.12,18.35,Low
403,Argentina,Cassava,2007,100000,591,81582.64,16.71,Low
404,Argentina,Cassava,2007,100000,591,81582.64,17.14,Low
405,Argentina,Cassava,2008,100000,591,87149.01,17.71,Low
406,Argentina,Cassava,2008,100000,591,87149.01,18.39,Low
407,Argentina,Cassava,2009,101695,591,61586.56,18.16,Low
408,Argentina,Cassava,2009,101695,591,61586.56,18.09,Low
409,Argentina,Cassava,2010,101000,591,105915.04,17.33,Low
410,Argentina,Cassava,2010,101000,591,105915.04,17.84,Low
411,Argentina,Cassava,2011,100000,591,100424.62,17.58,Low
412,Argentina,Cassava,2011,100000,591,100424.62,17.93,Low
413,Argentina,Cassava,2012,100000,591,136185.08,18.18,Low
414,Argentina,Cassava,2012,100000,591,136185.08,18.43,Low
415,Argentina,Cassava,2013,99459,591,171945.54,16.45,Low
416,Argentina,Cassava,2013,99459,591,171945.54,16.88,Low
417,Argentina,Maize,1990,34608,591,26156,17.46,Low
418,Argentina,Maize,1990,34608,591,26156,17.67,Low
419,Argentina,Maize,1991,40444,591,26156,17.64,Low
420,Argentina,Maize,1991,40444,591,26156,17.86,Low
421,Argentina,Maize,1992,45237,591,26156,17.09,Low
422,Argentina,Maize,1992,45237,591,26156,17.51,Low
423,Argentina,Maize,1993,43552,591,26156,17.32,Low
424,Argentina,Maize,1993,43552,591,26156,17.53,Low
425,Argentina,Maize,1994,42371,591,30195,18.17,Low
426,Argentina,Maize,1994,42371,591,30195,18.31,Low
427,Argentina,Maize,1995,45223,591,37842,17.74,Low
428,Argentina,Maize,1995,45223,591,37842,17.62,Low
429,Argentina,Maize,1996,40397,591,54595,17.64,Low
430,Argentina,Maize,1996,40397,591,54595,17.97,Low
431,Argentina,Maize,1997,45557,591,77691,18.29,Low
432,Argentina,Maize,1997,45557,591,77691,18.54,Low
433,Argentina,Maize,1998,60780,591,62397,17.23,Low
434,Argentina,Maize,1998,60780,591,62397,17.52,Low
435,Argentina,Maize,1999,53702,591,62831.39,17.15,Low
436,Argentina,Maize,1999,53702,591,62831.39,17.71,Low
437,Argentina,Maize,2000,54329,591,63265.78,16.98,Low
438,Argentina,Maize,2000,54329,591,63265.78,17.66,Low
439,Argentina,Maize,2001,54553,591,63700.17,17.71,Low
440,Argentina,Maize,2001,54553,591,63700.17,18.42,Low
441,Argentina,Maize,2002,60791,591,64134.56,17.58,Low
442,Argentina,Maize,2002,60791,591,64134.56,18.07,Low
443,Argentina,Maize,2004,63931,591,65003.34,17.67,Low
444,Argentina,Maize,2004,63931,591,65003.34,18.11,Low
