Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,category
Algeria,"Rice, paddy",1990,28000.0,89.0,1828.92,17.48,Low
Algeria,"Rice, paddy",1991,26786.0,89.0,2461.8,16.26,Low
Algeria,"Rice, paddy",1992,24733.0,89.0,1215.47,16.27,Low
Algeria,"Rice, paddy",1993,23111.0,89.0,1021.89,17.0,Low
Algeria,"Rice, paddy",1994,21374.0,89.0,1255.02,17.88,Low
Algeria,"Rice, paddy",1995,19598.0,89.0,2697.09,17.36,Low
Algeria,"Rice, paddy",1996,17861.0,89.0,479.77,16.76,Low
Algeria,"Rice, paddy",1997,15000.0,89.0,401.22,17.84,Low
Algeria,"Rice, paddy",1998,15000.0,89.0,322.84,17.14,Low
Algeria,"Rice, paddy",1999,13942.0,89.0,654.45,17.97,Low
Algeria,"Rice, paddy",2000,13052.0,89.0,603.67,17.9,Low
Algeria,"Rice, paddy",2001,12314.0,89.0,710.11,18.13,Low
Algeria,"Rice, paddy",2002,12959.0,89.0,816.55,17.85,Low
Algeria,"Rice, paddy",2004,12829.0,89.0,3747.86,17.38,Low
Algeria,"Rice, paddy",2005,12998.0,89.0,3662.87,17.19,Low
Algeria,"Rice, paddy",2006,12769.0,89.0,4110.72,18.13,Low
Algeria,"Rice, paddy",2007,13375.0,89.0,5390.79,17.42,Low
Algeria,"Rice, paddy",2008,13952.0,89.0,11556.12,17.55,Low
Algeria,"Rice, paddy",2009,14594.0,89.0,3867.99,17.78,Low
Algeria,"Rice, paddy",2010,15305.0,89.0,1295.88,17.59,Low
Algeria,"Rice, paddy",2011,16081.0,89.0,13861.76,17.79,Low
Algeria,"Rice, paddy",2012,16667.0,89.0,17379.76,17.91,Low
Algeria,"Rice, paddy",2013,17778.0,89.0,17278.65,17.65,Low
Algeria,Sorghum,1990,16571.0,89.0,1828.92,17.48,Low
Algeria,Sorghum,1991,24231.0,89.0,2461.8,16.26,Low
Algeria,Sorghum,1992,40000.0,89.0,1215.47,16.27,Low
Algeria,Sorghum,1993,50000.0,89.0,1021.89,17.0,Low
Algeria,Sorghum,1995,12667.0,89.0,2697.09,17.36,Low
Algeria,Sorghum,1996,14750.0,89.0,479.77,16.76,Low
Algeria,Sorghum,1997,40000.0,89.0,401.22,17.84,Low
Algeria,Sorghum,1998,24500.0,89.0,322.84,17.14,Low
Algeria,Sorghum,1999,27000.0,89.0,654.45,17.97,Low
Algeria,Sorghum,2000,69500.0,89.0,603.67,17.9,Low
Algeria,Sorghum,2001,27750.0,89.0,710.11,18.13,Low
Algeria,Sorghum,2002,33900.0,89.0,816.55,17.85,Low
Algeria,Sorghum,2004,43316.0,89.0,3747.86,17.38,Low
Algeria,Sorghum,2005,33486.0,89.0,3662.87,17.19,Low
Algeria,Sorghum,2006,56728.0,89.0,4110.72,18.13,Low
Algeria,Sorghum,2007,119059.0,89.0,5390.79,17.42,Low
Algeria,Sorghum,2008,61786.0,89.0,11556.12,17.55,Low
Algeria,Sorghum,2009,90465.0,89.0,3867.99,17.78,Low
Algeria,Sorghum,2010,30286.0,89.0,1295.88,17.59,Low
Algeria,Sorghum,2011,100000.0,89.0,13861.76,17.79,Low
Algeria,Sorghum,2012,206000.0,89.0,17379.76,17.91,Medium
Algeria,Sorghum,2013,60000.0,89.0,17278.65,17.65,Low
Algeria,Wheat,1990,6315.0,89.0,1828.92,17.48,Low
Algeria,Wheat,1991,10809.0,89.0,2461.8,16.26,Low
Algeria,Wheat,1992,9939.0,89.0,1215.47,16.27,Low
Algeria,Wheat,1993,8097.0,89.0,1021.89,17.0,Low
Algeria,Wheat,1994,7999.0,89.0,1255.02,17.88,Low
Algeria,Wheat,1995,8924.0,89.0,2697.09,17.36,Low
Algeria,Wheat,1996,13090.0,89.0,479.77,16.76,Low
Algeria,Wheat,1997,8016.0,89.0,401.22,17.84,Low
Algeria,Wheat,1998,8847.0,89.0,322.84,17.14,Low
Algeria,Wheat,1999,10711.0,89.0,654.45,17.97,Low
Algeria,Wheat,2000,9194.0,89.0,603.67,17.9,Low
Algeria,Wheat,2001,11104.0,89.0,710.11,18.13,Low
Algeria,Wheat,2002,10739.0,89.0,816.55,17.85,Low
Algeria,Wheat,2004,13582.0,89.0,3747.86,17.38,Low
Algeria,Wheat,2005,15057.0,89.0,3662.87,17.19,Low
Algeria,Wheat,2006,15068.0,89.0,4110.72,18.13,Low
Algeria,Wheat,2007,12742.0,89.0,5390.79,17.42,Low
Algeria,Wheat,2008,11038.0,89.0,11556.12,17.55,Low
Algeria,Wheat,2009,15975.0,89.0,3867.99,17.78,Low
Algeria,Wheat,2010,14838.0,89.0,1295.88,17.59,Low
Algeria,Wheat,2011,17405.0,89.0,13861.76,17.79,Low
Algeria,Wheat,2012,17639.0,89.0,17379.76,17.91,Low
Algeria,Wheat,2013,19100.0,89.0,17278.65,17.65,Low
Angola,Cassava,1990,41177.0,1010.0,64.0,24.12,Low
Angola,Cassava,1991,40295.0,1010.0,79.0,24.02,Low
Angola,Cassava,1992,42295.0,1010.0,23.0,23.96,Low
Angola,Cassava,1993,42295.0,1010.0,169.0,24.15,Low
Angola,Cassava,1994,58596.0,1010.0,25.5,24.04,Low
Angola,Cassava,1995,51000.0,1010.0,336.0,24.56,Low
Angola,Cassava,1996,48077.0,1010.0,40.0,24.11,Low
Angola,Cassava,1997,44205.0,1010.0,40.0,24.06,Low
Angola,Cassava,1998,55728.0,1010.0,40.0,24.96,Low
Angola,Cassava,1999,59821.0,1010.0,40.0,24.37,Low
Angola,Cassava,2000,82992.0,1010.0,40.0,24.41,Low
Angola,Cassava,2001,94072.0,1010.0,40.0,24.43,Low
Angola,Cassava,2002,110071.0,1010.0,40.0,24.79,Low
Angola,Cassava,2004,125605.0,1010.0,40.0,24.22,Low
Angola,Cassava,2005,117628.0,1010.0,40.0,24.41,Low
Angola,Cassava,2006,117201.0,1010.0,40.0,24.14,Low
Angola,Cassava,2007,115387.0,1010.0,40.0,24.24,Low
Angola,Cassava,2008,148084.0,1010.0,40.0,24.27,Low
Angola,Cassava,2009,151759.0,1010.0,40.0,24.33,Low
Angola,Cassava,2010,155782.0,1010.0,40.0,24.44,Low
Angola,Cassava,2011,133649.0,1010.0,40.0,24.15,Low
Angola,Cassava,2012,100073.0,1010.0,40.0,24.24,Low
Angola,Cassava,2013,140517.0,1010.0,40.0,24.55,Low
Angola,Maize,1990,2736.0,1010.0,64.0,24.12,Low
Angola,Maize,1991,4013.0,1010.0,79.0,24.02,Low
Angola,Maize,1992,3778.0,1010.0,23.0,23.96,Low
Angola,Maize,1993,2627.0,1010.0,169.0,24.15,Low
Angola,Maize,1994,2463.0,1010.0,25.5,24.04,Low
Angola,Maize,1995,3517.0,1010.0,336.0,24.56,Low
Angola,Maize,1996,6993.0,1010.0,40.0,24.11,Low
Angola,Maize,1997,5959.0,1010.0,40.0,24.06,Low
Angola,Maize,1998,7396.0,1010.0,40.0,24.96,Low
Angola,Maize,1999,6361.0,1010.0,40.0,24.37,Low
Angola,Maize,2000,5745.0,1010.0,40.0,24.41,Low
Angola,Maize,2001,5754.0,1010.0,40.0,24.43,Low
Angola,Maize,2002,6706.0,1010.0,40.0,24.79,Low
Angola,Maize,2004,5404.0,1010.0,40.0,24.22,Low
Angola,Maize,2005,6736.0,1010.0,40.0,24.41,Low
Angola,Maize,2006,4687.0,1010.0,40.0,24.14,Low
Angola,Maize,2007,5091.0,1010.0,40.0,24.24,Low
Angola,Maize,2008,7946.0,1010.0,40.0,24.27,Low
Angola,Maize,2009,6614.0,1010.0,40.0,24.33,Low
Angola,Maize,2010,7200.0,1010.0,40.0,24.44,Low
Angola,Maize,2011,7376.0,1010.0,40.0,24.15,Low
Angola,Maize,2012,7770.0,1010.0,40.0,24.24,Low
Angola,Maize,2013,9467.0,1010.0,40.0,24.55,Low
Angola,Potatoes,1990,40000.0,1010.0,64.0,24.12,Low
Angola,Potatoes,1991,40000.0,1010.0,79.0,24.02,Low
Angola,Potatoes,1992,40000.0,1010.0,23.0,23.96,Low
Angola,Potatoes,1993,70000.0,1010.0,169.0,24.15,Low
Angola,Potatoes,1994,90000.0,1010.0,25.5,24.04,Low
Angola,Potatoes,1995,76738.0,1010.0,336.0,24.56,Low
Angola,Potatoes,1996,70000.0,1010.0,40.0,24.11,Low
Angola,Potatoes,1997,68571.0,1010.0,40.0,24.06,Low
Angola,Potatoes,1998,62724.0,1010.0,40.0,24.96,Low
Angola,Potatoes,1999,54597.0,1010.0,40.0,24.37,Low
Angola,Potatoes,2000,29885.0,1010.0,40.0,24.41,Low
Angola,Potatoes,2001,42552.0,1010.0,40.0,24.43,Low
Angola,Potatoes,2002,42754.0,1010.0,40.0,24.79,Low
Angola,Potatoes,2004,20150.0,1010.0,40.0,24.22,Low
Angola,Potatoes,2005,23646.0,1010.0,40.0,24.41,Low
Angola,Potatoes,2006,52148.0,1010.0,40.0,24.14,Low
Angola,Potatoes,2007,62138.0,1010.0,40.0,24.24,Low
Angola,Potatoes,2008,85085.0,1010.0,40.0,24.27,Low
Angola,Potatoes,2009,86509.0,1010.0,40.0,24.33,Low
Angola,Potatoes,2010,87425.0,1010.0,40.0,24.44,Low
Angola,Potatoes,2011,81366.0,1010.0,40.0,24.15,Low
Angola,Potatoes,2012,69381.0,1010.0,40.0,24.24,Low
Angola,Potatoes,2013,63303.0,1010.0,40.0,24.55,Low
Angola,"Rice, paddy",1990,9512.0,1010.0,64.0,24.12,Low
Angola,"Rice, paddy",1991,10000.0,1010.0,79.0,24.02,Low
Angola,"Rice, paddy",1992,9106.0,1010.0,23.0,23.96,Low
Angola,"Rice, paddy",1993,8000.0,1010.0,169.0,24.15,Low
Angola,"Rice, paddy",1994,8750.0,1010.0,25.5,24.04,Low
Angola,"Rice, paddy",1995,14615.0,1010.0,336.0,24.56,Low
Angola,"Rice, paddy",1996,17500.0,1010.0,40.0,24.11,Low
Angola,"Rice, paddy",1997,20000.0,1010.0,40.0,24.06,Low
Angola,"Rice, paddy",1998,20000.0,1010.0,40.0,24.96,Low
Angola,"Rice, paddy",1999,14235.0,1010.0,40.0,24.37,Low
Angola,"Rice, paddy",2000,13454.0,1010.0,40.0,24.41,Low
Angola,"Rice, paddy",2001,13701.0,1010.0,40.0,24.43,Low
Angola,"Rice, paddy",2002,13198.0,1010.0,40.0,24.79,Low
Angola,"Rice, paddy",2004,11584.0,1010.0,40.0,24.22,Low
Angola,"Rice, paddy",2005,6977.0,1010.0,40.0,24.41,Low
Angola,"Rice, paddy",2006,4947.0,1010.0,40.0,24.14,Low
Angola,"Rice, paddy",2007,5143.0,1010.0,40.0,24.24,Low
Angola,"Rice, paddy",2008,5084.0,1010.0,40.0,24.27,Low
Angola,"Rice, paddy",2009,6028.0,1010.0,40.0,24.33,Low
Angola,"Rice, paddy",2010,7403.0,1010.0,40.0,24.44,Low
Angola,"Rice, paddy",2011,8914.0,1010.0,40.0,24.15,Low
Angola,"Rice, paddy",2012,7703.0,1010.0,40.0,24.24,Low
Angola,"Rice, paddy",2013,12744.0,1010.0,40.0,24.55,Low
Angola,Sorghum,2000,3333.0,1010.0,40.0,24.41,Low
Angola,Sorghum,2001,3571.0,1010.0,40.0,24.43,Low
Angola,Sorghum,2002,3400.0,1010.0,40.0,24.79,Low
Angola,Sorghum,2004,3333.0,1010.0,40.0,24.22,Low
Angola,Sorghum,2005,3333.0,1010.0,40.0,24.41,Low
Angola,Sorghum,2006,4091.0,1010.0,40.0,24.14,Low
Angola,Sorghum,2007,4031.0,1010.0,40.0,24.24,Low
Angola,Sorghum,2008,929.0,1010.0,40.0,24.27,Low
Angola,Sorghum,2009,2480.0,1010.0,40.0,24.33,Low
Angola,Sorghum,2010,2814.0,1010.0,40.0,24.44,Low
Angola,Sorghum,2011,3320.0,1010.0,40.0,24.15,Low
Angola,Sorghum,2012,998.0,1010.0,40.0,24.24,Low
Angola,Sorghum,2013,2415.0,1010.0,40.0,24.55,Low
Angola,Soybeans,2000,2333.0,1010.0,40.0,24.41,Low
Angola,Soybeans,2001,2500.0,1010.0,40.0,24.43,Low
Angola,Soybeans,2002,2857.0,1010.0,40.0,24.79,Low
Angola,Soybeans,2004,3600.0,1010.0,40.0,24.22,Low
Angola,Soybeans,2005,3793.0,1010.0,40.0,24.41,Low
Angola,Soybeans,2006,4286.0,1010.0,40.0,24.14,Low
Angola,Soybeans,2007,6883.0,1010.0,40.0,24.24,Low
Angola,Soybeans,2008,8575.0,1010.0,40.0,24.27,Low
Angola,Soybeans,2009,4449.0,1010.0,40.0,24.33,Low
Angola,Soybeans,2010,4446.0,1010.0,40.0,24.44,Low
Angola,Soybeans,2011,5294.0,1010.0,40.0,24.15,Low
Angola,Soybeans,2012,1641.0,1010.0,40.0,24.24,Low
Angola,Soybeans,2013,4405.0,1010.0,40.0,24.55,Low
Angola,Sweet potatoes,1990,89342.0,1010.0,64.0,24.12,Low
Angola,Sweet potatoes,1991,83001.0,1010.0,79.0,24.02,Low
Angola,Sweet potatoes,1992,90000.0,1010.0,23.0,23.96,Low
Angola,Sweet potatoes,1993,88095.0,1010.0,169.0,24.15,Low
Angola,Sweet potatoes,1994,83192.0,1010.0,25.5,24.04,Low
Angola,Sweet potatoes,1995,81138.0,1010.0,336.0,24.56,Low
Angola,Sweet potatoes,1996,85455.0,1010.0,40.0,24.11,Low
Angola,Sweet potatoes,1997,78098.0,1010.0,40.0,24.06,Low
Angola,Sweet potatoes,1998,76256.0,1010.0,40.0,24.96,Low
Angola,Sweet potatoes,1999,82865.0,1010.0,40.0,24.37,Low
Angola,Sweet potatoes,2000,34938.0,1010.0,40.0,24.41,Low
Angola,Sweet potatoes,2001,44458.0,1010.0,40.0,24.43,Low
Angola,Sweet potatoes,2002,42190.0,1010.0,40.0,24.79,Low
Angola,Sweet potatoes,2004,45360.0,1010.0,40.0,24.22,Low
Angola,Sweet potatoes,2005,46159.0,1010.0,40.0,24.41,Low
Angola,Sweet potatoes,2006,44240.0,1010.0,40.0,24.14,Low
Angola,Sweet potatoes,2007,58855.0,1010.0,40.0,24.24,Low
Angola,Sweet potatoes,2008,65437.0,1010.0,40.0,24.27,Low
Angola,Sweet potatoes,2009,66475.0,1010.0,40.0,24.33,Low
Angola,Sweet potatoes,2010,63001.0,1010.0,40.0,24.44,Low
Angola,Sweet potatoes,2011,65512.0,1010.0,40.0,24.15,Low
Angola,Sweet potatoes,2012,52954.0,1010.0,40.0,24.24,Low
Angola,Sweet potatoes,2013,73409.0,1010.0,40.0,24.55,Low
Angola,Wheat,1990,7995.0,1010.0,64.0,24.12,Low
Angola,Wheat,1991,8000.0,1010.0,79.0,24.02,Low
Angola,Wheat,1992,8000.0,1010.0,23.0,23.96,Low
Angola,Wheat,1993,8876.0,1010.0,169.0,24.15,Low
Angola,Wheat,1994,10000.0,1010.0,25.5,24.04,Low
Angola,Wheat,1995,11855.0,1010.0,336.0,24.56,Low
Angola,Wheat,1996,13738.0,1010.0,40.0,24.11,Low
Angola,Wheat,1997,15509.0,1010.0,40.0,24.06,Low
Angola,Wheat,1998,17143.0,1010.0,40.0,24.96,Low
Angola,Wheat,1999,17391.0,1010.0,40.0,24.37,Low
Angola,Wheat,2000,17023.0,1010.0,40.0,24.41,Low
Angola,Wheat,2001,16667.0,1010.0,40.0,24.43,Low
Angola,Wheat,2002,15455.0,1010.0,40.0,24.79,Low
Angola,Wheat,2004,12442.0,1010.0,40.0,24.22,Low
Angola,Wheat,2005,10946.0,1010.0,40.0,24.41,Low
Angola,Wheat,2006,10000.0,1010.0,40.0,24.14,Low
Angola,Wheat,2007,10000.0,1010.0,40.0,24.24,Low
Angola,Wheat,2008,10000.0,1010.0,40.0,24.27,Low
Angola,Wheat,2009,10000.0,1010.0,40.0,24.33,Low
Angola,Wheat,2010,10526.0,1010.0,40.0,24.44,Low
Angola,Wheat,2011,10959.0,1010.0,40.0,24.15,Low
Angola,Wheat,2012,11258.0,1010.0,40.0,24.24,Low
Angola,Wheat,2013,9022.0,1010.0,40.0,24.55,Low
Argentina,Cassava,1990,100000.0,591.0,26156.0,17.46,Low
Argentina,Cassava,1990,100000.0,591.0,26156.0,17.67,Low
Argentina,Cassava,1991,100000.0,591.0,26156.0,17.64,Low
Argentina,Cassava,1991,100000.0,591.0,26156.0,17.86,Low
Argentina,Cassava,1992,100000.0,591.0,26156.0,17.09,Low
Argentina,Cassava,1992,100000.0,591.0,26156.0,17.51,Low
Argentina,Cassava,1993,100000.0,591.0,26156.0,17.32,Low
Argentina,Cassava,1993,100000.0,591.0,26156.0,17.53,Low
Argentina,Cassava,1994,100000.0,591.0,30195.0,18.17,Low
Argentina,Cassava,1994,100000.0,591.0,30195.0,18.31,Low
Argentina,Cassava,1995,100000.0,591.0,37842.0,17.74,Low
Argentina,Cassava,1995,100000.0,591.0,37842.0,17.62,Low
Argentina,Cassava,1996,100000.0,591.0,54595.0,17.64,Low
Argentina,Cassava,1996,100000.0,591.0,54595.0,17.97,Low
Argentina,Cassava,1997,100000.0,591.0,77691.0,18.29,Low
Argentina,Cassava,1997,100000.0,591.0,77691.0,18.54,Low
Argentina,Cassava,1998,100000.0,591.0,62397.0,17.23,Low
Argentina,Cassava,1998,100000.0,591.0,62397.0,17.52,Low
Argentina,Cassava,1999,100000.0,591.0,62831.39,17.15,Low
Argentina,Cassava,1999,100000.0,591.0,62831.39,17.71,Low
Argentina,Cassava,2000,100000.0,591.0,63265.78,16.98,Low
Argentina,Cassava,2000,100000.0,591.0,63265.78,17.66,Low
Argentina,Cassava,2001,100000.0,591.0,63700.17,17.71,Low
Argentina,Cassava,2001,100000.0,591.0,63700.17,18.42,Low
Argentina,Cassava,2002,100000.0,591.0,64134.56,17.58,Low
Argentina,Cassava,2002,100000.0,591.0,64134.56,18.07,Low
Argentina,Cassava,2004,100000.0,591.0,65003.34,17.67,Low
Argentina,Cassava,2004,100000.0,591.0,65003.34,18.11,Low
Argentina,Cassava,2005,100000.0,591.0,65437.73,17.32,Low
Argentina,Cassava,2005,100000.0,591.0,65437.73,17.83,Low
Argentina,Cassava,2006,100000.0,591.0,65872.12,18.1,Low
Argentina,Cassava,2006,100000.0,591.0,65872.12,18.35,Low
Argentina,Cassava,2007,100000.0,591.0,81582.64,16.71,Low
Argentina,Cassava,2007,100000.0,591.0,81582.64,17.14,Low
